word	frequency	sources
គ្មាន	12710.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
នាក់	12463.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ច្បាប់	12419.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
បត	12331.00	seafreq.txt
រួច	12263.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
គ្រប់	12077.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
រឿង	12070.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
រយ	12056.00	KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ឈ្មោះ	12023.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
លើក	11942.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ទង	11839.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,seafreq.txt
ជាតិ	11796.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,names.txt,seafreq.txt
អំពី	11730.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ក្រុម	11723.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ទុក	11720.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ចង់	11643.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
លោកអ្នក	11411.00	DFD.txt,HC.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ចាប់	11378.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ដូច្នេះ	11255.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
កាន់	11041.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ល្អ	10755.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ទឹក	10685.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ផល	10471.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,names.txt,seafreq.txt
ជាមួយ	10449.00	DFD.txt,HC.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ដី	10416.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
កន	10346.00	RAC-Khmer-Dict-2022,seafreq.txt
ជាង	10292.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ខេត្ត	10073.00	HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,seafreq.txt
ផ្លូវ	10026.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
គណ	9922.00	RAC-Khmer-Dict-2022,seafreq.txt
ស្ត្រី	9885.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ព័ត៌មាន	9884.00	DFD.txt,HC.txt,RAC-Khmer-Dict-2022,seafreq.txt
ថ្មី	9812.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt,villages.txt
ណាស់	9781.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ជួយ	9752.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt,villages.txt
ថៃ	9720.00	RAC-Khmer-Dict-2022,names.txt,places.txt,seafreq.txt
រូប	9686.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
អំពើ	9657.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
បញ្ហា	9524.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
កើត	9492.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ព្រះអម្ចាស់	9490.00	HC.txt,KHOV.txt,KHSV.txt,TD.txt
ករ	9413.00	KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,seafreq.txt
ស្រី	9368.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,names.txt,seafreq.txt
ប្រាប់	9307.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ឬ	9235.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt
សីហា	9210.00	KHOV.txt,RAC-Khmer-Dict-2022,names.txt,seafreq.txt,villages.txt
យល់	9189.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ព្រម	9177.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ក្រោយ	9074.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
កំពុង	9027.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ស្តេច	8999.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
រួម	8952.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ជីវិត	8916.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
មុន	8911.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
អាន	8897.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,names.txt,seafreq.txt
កុំ	8825.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
គួរ	8773.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ចក	8750.00	KHOV.txt,RAC-Khmer-Dict-2022,seafreq.txt,villages.txt
លក	8725.00	KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,seafreq.txt,villages.txt
អង្គការ	8675.00	DFD.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ពិត	8632.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
មែន	8610.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ព្រះបន្ទូល	8549.00	HC.txt,KHOV.txt,KHSV.txt,TD.txt,seafreq.txt
អញ	8478.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,seafreq.txt
ឯ	8471.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt
ពួកជំនុំ	8395.00	DFD.txt,HC.txt
ខ្លះ	8333.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ហេតុ	8310.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ធំ	8280.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,names.txt,seafreq.txt,villages.txt
ផ្សេង	8274.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
គណបក្ស	8251.00	RAC-Khmer-Dict-2022,seafreq.txt
ផ្ទះ	8194.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
កក្កដា	8154.00	KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,names.txt,seafreq.txt
គិត	8124.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
របប	8023.00	HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,seafreq.txt
រដ្ឋាភិបាល	7832.00	RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ចូរ	7802.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ពីរ	7800.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ប្រាសាទ	7717.00	KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,seafreq.txt,villages.txt
បើក	7648.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
បង្កើត	7551.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ព្រះជាម្ចាស់	7530.00	HC.txt,KHOV.txt,KHSV.txt,TD.txt,seafreq.txt
អង	7508.00	RAC-Khmer-Dict-2022,seafreq.txt,villages.txt
ដើម	7501.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
អោយ	7474.00	seafreq.txt
ប្រកាស	7433.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
ទើប	7396.00	DFD.txt,HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,seafreq.txt
កង	7292.00	HC.txt,KHOV.txt,KHSV.txt,RAC-Khmer-Dict-2022,TD.txt,names.txt,seafreq.txt
